日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-07-26,'600738,兰州民百,8.49,8.5,8.36,8.37,8.39,0.1,1.1919,2.2131,8148701,68831868.0,3131686153.23,3126006003.63
2016-07-25,'600738,兰州民百,8.39,8.45,8.34,8.41,8.42,-0.03,-0.3563,1.3884,5111968,42929985.0,3094799390.53,3089186144.93
2016-07-22,'600738,兰州民百,8.42,8.5,8.39,8.48,8.46,-0.04,-0.4728,1.5567,5731660,48426272.0,3105865419.34,3100232102.54
2016-07-21,'600738,兰州民百,8.46,8.54,8.39,8.47,8.46,0.0,0.0,2.0843,7674216,64983482.0,3120620124.42,3114960046.02
2016-07-20,'600738,兰州民百,8.46,8.49,8.4,8.44,8.47,-0.01,-0.1181,1.4734,5424925,45823058.0,3120620124.42,3114960046.02
2016-07-19,'600738,兰州民百,8.47,8.47,8.28,8.36,8.33,0.14,1.6807,2.0582,7578163,63315646.0,3124308800.69,3118642031.89
2016-07-18,'600738,兰州民百,8.33,8.51,8.26,8.51,8.47,-0.14,-1.6529,1.8699,6885042,57552753.0,3072667332.91,3067094229.71
2016-07-15,'600738,兰州民百,8.47,8.57,8.44,8.57,8.53,-0.06,-0.7034,2.0985,7726821,65655215.0,3124308800.69,3118642031.89
2016-07-14,'600738,兰州民百,8.53,8.59,8.44,8.48,8.48,0.05,0.5896,2.545,9370833,79834960.0,3146440858.31,3140733947.11
2016-07-13,'600738,兰州民百,8.48,8.51,8.37,8.45,8.43,0.05,0.5931,3.5079,12916080,109199730.0,3127997476.96,3122324017.76
2016-07-12,'600738,兰州民百,8.43,8.65,8.11,8.65,8.65,-0.22,-2.5434,6.9753,25683066,215136232.0,3109554095.61,3103914088.41
2016-07-11,'600738,兰州民百,8.65,9.34,8.52,9.34,8.49,0.16,1.8846,12.4899,45987751,408909865.0,3190704973.55,3184917777.55
2016-07-08,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-07-07,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-07-06,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-07-05,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-07-04,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-07-01,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-30,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-29,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-28,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-27,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-24,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-23,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-22,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-21,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-20,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-17,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-16,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-15,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-14,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-13,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-08,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-07,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-06,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-03,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-02,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-06-01,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-31,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-30,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-27,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-26,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-25,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-24,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-23,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-20,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-19,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-18,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-17,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-16,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-13,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-12,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-11,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-10,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-09,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-06,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
2016-05-05,'600738,兰州民百,0.0,0.0,0.0,0.0,8.49,None,None,0.0,0,0.0,3131686153.23,3126006003.63
